Perturbation	Average	SD	Data
[PI]	2.7051282051282053	0.6437827532807572	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	3.0	-1.0	2.0	3.0	1.0	3.0	2.0	2.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	1.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	0.5	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0
[PD]	3.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
[CT]	3.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
[BI]	2.4405594405594404	1.0997591133322926	3.0	0.0	3.0	0.0	3.0	2.0	3.0	3.0	3.0	3.0	0.0	1.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	-2.0	3.0	3.0	0.0	3.0	3.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	0.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.5	1.0	3.0	3.0	1.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	0.0	3.0	3.0	3.0	3.0	3.0	0.5	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	0.0	2.0	3.0	3.0	3.0	3.0	3.0	0.0	3.0	0.0	1.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	0.0	3.0	2.0
[PK]	1.0224719101123596	1.2700888309116563	1.0	-1.0	3.0	-1.0	1.0	3.0	1.0	0.0	-1.0	0.0	0.0	1.0	1.0	1.0	3.0	3.0	1.0	1.0	-3.0	0.0	1.0	-1.0	0.0	0.0	1.0	0.0	3.0	0.0	1.0	3.0	0.0	3.0	1.0	1.0	3.0	1.0	0.0	1.0	0.0	0.0	3.0	1.0	3.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	0.0	3.0	3.0	3.0	1.0	1.0	3.0	-1.0	1.0	1.0	1.0	1.0	3.0	0.0	-1.0	3.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	3.0	1.0	3.0
[AK]	1.9672131147540983	1.0904122067608322	1.0	3.0	1.0	1.0	1.0	3.0	3.0	2.0	1.0	0.0	1.0	1.0	3.0	2.0	2.0	3.0	3.0	3.0	1.0	2.0	3.0	3.0	0.0	1.0	1.0	2.0	3.0	1.0	1.0	2.0	2.0	3.0	2.0	2.0	0.0	2.0	2.0	0.0	3.0	3.0	2.0	1.0	3.0	0.0	2.0	3.0	3.0	2.0	3.0	2.0	2.0	3.0	0.0	3.0	3.0	2.0	2.0	3.0	2.0	3.0	2.0	-2.0	2.0	3.0	2.0	2.0	0.0	2.0	2.0	1.0	3.0	3.0	0.0	1.0	1.0	2.0	3.0	3.0	3.0	3.0	2.0	0.0	3.0	2.0	1.0	1.0	3.0	3.0	0.0	0.0	2.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	1.0	3.0	2.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	1.0	3.0	0.0
[5Z]	3.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
[PI]-[PD]	2.0714285714285716	1.4632549274061573	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.5	3.0	3.0	1.0	3.0	-1.0	-1.0	3.0	3.0	3.0	-1.0	1.0	0.0	3.0	3.0	3.0	3.0	3.0	0.5	3.0	0.5	3.0	3.0	3.0	3.0	3.0	3.0	3.0	-1.0	0.5	0.0	3.0	3.0	3.0	0.0
[PI]-[CT]	2.7051282051282053	0.6437827532807572	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	3.0	-1.0	2.0	3.0	1.0	3.0	2.0	2.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	1.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	0.5	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0
[PI]-[BI]	2.236111111111111	1.1670282038838802	3.0	0.0	3.0	0.0	3.0	2.0	3.0	2.0	3.0	0.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	0.0	-2.0	2.0	3.0	0.0	3.0	2.0	1.0	2.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	0.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	2.0	3.0	3.0	1.0	3.0	3.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	3.0	3.0	1.5	2.0	3.0	3.0	0.0	-2.0	0.5	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0	0.5	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	3.0	2.0	3.0	3.0	3.0	0.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	0.0	3.0
