Perturbation	Ensemble average response
[PI]	2.7051282051282053
[PD]	3.0
[CT]	3.0
[BI]	2.4405594405594404
[PK]	1.0224719101123596
[AK]	1.9672131147540983
[5Z]	3.0
[PI]-[PD]	2.0714285714285716
[PI]-[CT]	2.7051282051282053
[PI]-[BI]	2.236111111111111
[PI]-[PK]	0.7976190476190477
[PI]-[AK]	1.9338842975206612
[PI]-[5Z]	2.391509433962264
[PD]-[CT]	3.0
[PD]-[BI]	2.1145833333333335
[PD]-[PK]	2.25
[PD]-[AK]	1.024390243902439
[PD]-[5Z]	3.0
[CT]-[BI]	2.4405594405594404
[CT]-[PK]	1.0224719101123596
[CT]-[AK]	1.9672131147540983
[CT]-[5Z]	3.0
[BI]-[PK]	0.4583333333333333
[BI]-[AK]	1.8015873015873016
[BI]-[5Z]	2.8962962962962964
[PK]-[AK]	0.5042016806722689
[PK]-[5Z]	2.6774193548387095
[AK]-[5Z]	1.5046728971962617
